☠☠☠☠,16999036074834664192286333876623109070950503501903416594256976959921190636669
☢☢☢☢,26843014358306166661340123399352618100044790985247346444730508842194713457552
☣☣☣☣,54751674209753012875779811932507538432715466168483495915033921500371532608262
☦☦☦☦,45330918545987740647502367076304230550626566876027501692997709712111237140687
☪☪☪☪,115393972802546144596227182104582269784427270224795431541718634330831487906415
☮☮☮☮,41278580201714279067609285639668882098138459999593035576671450344074030265572
☯☯☯☯,71325280280508153163788529775046939407735514983289758801374147777527902511640
☸☸☸☸,16229383332441778915397729133105822438752825851666842246536085762582000779331
☹☹☹☹,79855300520445739438650131274381775767711952021017065814595445054293680046620
☺☺☺☺,62452270405036141411774166109624341270558921696355333609661324183657723879271
♀♀♀♀,36596754916706857770011048575723940329083424652921109704163039256469992785142
♂♂♂♂,94523287973343332130236404024767970118517608346772330488154770471335015690784
♈♈♈♈,64380273539282751432545377530074885318812779823723755883763767028739618267061
♉♉♉♉,105575460662227798149665210587158817379007408486423462913089083049469201017985
♊♊♊♊,50637199008812963117179253638534142632856705401228001492495391654735007694142
♋♋♋♋,26459367967617646479970240575081794811524846859939099052769531593105235310877
♌♌♌♌,48728288379984229725818252496187892950837637503880344724486646437333644736621
♍♍♍♍,103492701326343947099640879432482113755006636006810862575119354398884134707597
♎♎♎♎,83562691305137219885163328538691758274149692066125649367537492359906082889206
♏♏♏♏,35473917847816835691809944378121315970187096017699827749298939475804469836884
♐♐♐♐,62713652868700641979251846723666946381774382530903163145470109962115703413492
♑♑♑♑,1364899818895815885107236806417746396241018957186901683300483336170216902841
♒♒♒♒,64367871447437446383179484868651191718919470104065454135529318066517955024505
♓♓♓♓,107377250286692309623729623827010734000138241513986518182024677805649269266203
♟♟♟♟,63734176246806096145689714824555810250395102736513269805545002019459821071898
♠♠♠♠,63078625431083924583129369980371788686300418497348336602291979650950369014117
♣♣♣♣,113133256651665686729500904961109296888024985298421226481372766632680878101826
♥♥♥♥,110546962497923796471067694730753502675291101957428367357012328352040040127285
♦♦♦♦,39020447889137106894338662730093953209745558387380207675971394699718930228520
♨♨♨♨,56794489854449636097043751796560433176604894617032772536903204415868779934468
♻♻♻♻,88650386764670295202414273006831786896351681714964730271871386614830445692007
♾♾♾♾,20284484527514402156066336686197452265747767340155669181025751767907916599366
♿♿♿♿,8630353514209675869553807365681737210828936317818660625628329875326985409779
⚒⚒⚒⚒,5409083629867510653383419460043006239671443782805496706958767611933856216982
⚓⚓⚓⚓,59550932033853808251304123253812349095994338507702030456532755693090291609602
⚔⚔⚔⚔,64465436757661000080935145666035671026386420464383678563048298977137851155280
⚕⚕⚕⚕,4462300224212177561152417210435057083012418014783860655853454038013642351408
⚖⚖⚖⚖,54199111109246821153272565674741631060339642832328966476103095917120308283408
⚗⚗⚗⚗,100467013503282544370270709862950871849884515988667232397765327075189440584745
⚙⚙⚙⚙,23576978151428404274843724875534986846016872347092737090941066803902930322453
⚛⚛⚛⚛,41870579020550061701958698896947783123683799015171547976697083530692949010644
⚜⚜⚜⚜,96304820066827933955785351755125157817519877055699347820303990468169297325492
⚠⚠⚠⚠,34153632458925869750844187523341788621538022203846890135749908626794631109816
⚡⚡⚡⚡,88718837175638492287590320876728771619654886184678270589158007612043794142418
⚪⚪⚪⚪,52199128608118192826468355440313796912534100474436556285614983396351202901207
⚫⚫⚫⚫,79461028196879760592369841076109265311447634630985511255258762391963847485808
⚰⚰⚰⚰,89096739169290664779763175526454573587128220736235874964739059554049626083809
⚱⚱⚱⚱,62428769498073837499506689383487208185007686919533518041901903181526248344945
⚽⚽⚽⚽,83087313025935753612945708361704830037841711735766089748556675685410332592997
⚾⚾⚾⚾,82425353239484500650997725983424026121264119568549313288417978204720127425314
⛄⛄⛄⛄,36487085484531450226021124212057984416433244423740125854076406227787030217954
⛅⛅⛅⛅,39652054276719657836344485868719973161293463325803475940562240658884800324974
