hardcase: 4602281097167279866905618066896268276599716021624742054843672141069399406853,
harterkalonia: 70165859024373241018925263644562299007795727734808902354483114871899513043401,
hevy: 88012194765736193391772470351915844334086352570921397168481600662757954520496,
howzer: 98906868604196599176564735076857975073379640216335631551010209228026519499293,
ig-11: 90971956790407663547629294113618799354505903657843198875967650042872992440792,
inspectorthanoth: 28297722419920366057157924385401919695210034000113631765808437422520304115751,
jabba: 38527780200211656374956419487127523621972206156037512347726846211546493269583,
jabbathehutt: 56944352386651056409102564797803162387664039343843875023580828081715997103966,
jandodonna: 49133144770944452364086116466308978765171743489562584621390232275348919178426,
jango: 41467433961820900442544340178106398193775423071186986311258159517746042058373,
jangofett: 63239734857732172382040080154329989648931548387886869455376842091085504677632,
jannah: 51387649116031039717467402107625632836828249506690297158623161721892004966900,
janusgreejatus: 5809308238311757256026413532187284656251371214507299606053268651745898446444,
jarjar: 84276977292304645082044219598872621270969847735838703578529600110297756013060,
jarjarbinks: 99031660464779399725829513190676528049261079572482365722536203666335321959798,
jektonoporkins: 11166589718395614026390463941751987879754864910777173681350527580598698977746,
jemboc: 53234945792343083605953057420266636310801186272821480559874904878555643257137,
jerusjannick: 20544133680405218383605903983332817227059464532676694062162935629106486274738,
jesse: 20339294690710288616623341905746354430592698944139542544116293784975432873833,
jessikapava: 100126175240858416809570748986247629665993464871299762245987033123955005889117,
jezzi: 76481836703022837488975602154909728524416990552064876773923448316386682427433,
jibdodger: 16270159307035471567307656811537985584694696022628335730529737389741562500463,
jira: 102726787975236329490835899555874577640974454876012758000027581118357868357424,
jobalnaberrie: 50683246193597017442559435274238497314036910418329037225962543103610633338941,
jocastanu: 31626902903404442127238683763369145561049709473055623962200495813735604081055,
jophseastriker: 11241526548576487707546670295053612084615146791155111226007375053596901520648,
junsato: 70686388365881223020638287301387390570361179149626484622732114505761741078478,
jyn: 48150934637174409936344673577398375002789415301398277862837713648912115304954,
jynerso: 60700581378209360592822859608555576260446618467815140643276382998620624869710,
k-2so: 9650536106915241729878296659859245070156726184727813862775192952553080829008,
kanunjarrus: 79595313204149192864173523897090654265143006155022583364469577711917134592080,
karisnemik: 90117407219916986821600792646638584977030331640236023474991389643342929436798,
kaydelkoconnix: 34926888323448020997859214422468790809870468732689445435341071473586637775637,
kazudaxiono: 32279942072802809759188603750667347111293523938379492629981472534254004297317,
ketsuonyo: 99342148273650240334776226871829252755255308216163698489471673925581428676784,
ki-adi-mundi: 8733061709991325919260896562136468720799469466964677945821710419872403059729,
kinoloy: 19982334863837066226795356074749151286215808071431275707797745268039032890546,
kitfisto: 76998740687288339768259423582017297286018997262101354308813955148741437058335,
kitsterbanai: 28133148319651883719646047717115761741317135481629212478602997526912557333936,
kix: 77497079081954927979941141652146304425475827827463225833803957013354245971356,
klemandor: 95158973364425380046419473212200927316014946075135447051464318705624306327868,
kleyamarki: 93119935131322384721691987072226311582884862947756072022365131731746423755117,
korkiekryze: 26770360550676814224767675576318526912128439280615483862247187013468907372496,
korrsella: 45064068758943203401169189264115499161201334503203132642005379681148478994329,
koskareeves: 15417768673161340388664028753603293648773820697771952493088692835383534010889,
kuill: 98291880218241720373806306649999354295179674384808110163528230344994267132647,
kyloren: 19943480199314139888212543264054000865483829110397599515641812826677416658685,
l3-37: 17086476625101251887900533737544303248797741729845466192419885314651333011651,
lamasu: 112171931198866352538920900176197845884973089720561746168896685139251983663515,
lando: 110688815474083262364810388109546004357071069789850092254653555446911510193257,
landocalrissian: 39177178924051050420919521411956416953181372626546249413833878730429536959178,
lang: 28859571290907128739850896781100129126018461210670566784226469037609577945147,
lantdavan: 85159818449872224403088005047829419867994198961357696341678485125781501004432,
larmadacy: 59863382673858460158182655777759415897027561297397596372234121358939034395828,
lazeloneozner: 88935900732383888719390080474798169198179570178097908863780479749814187075064,
leia: 15611153242949028032877823832655799654878773121825610974405123214035322974112,
leiaorgana: 76697927181607221011561381174982557211696929537808236721391931573515192656623,
leidamothma: 98190441826221299743461016518232873363456052895230367122521806433281015675971,
lettaturmond: 85222011276984111666042369974872062215639813275343137016012859636360680677898,
lieutenantthire: 7135303302627702027136264922997607916412794716571543660669602404638821984468,
lobot: 25722424056291676411763066687790634056766045961996819164608187791356861162549,
lorsantekka: 36472477330912915038151855674641041827735472385199076340514377748777614788720,
lorthapeel: 88429164464494987972611028057331652533846709317552134470505801402379179770578,
lorthneeda: 5591751508678389211291290092386122845854908199660585263307984766320821957440,
lottdod: 22023860111865286204691898882280504669368474801555478723151520003338129393249,
lieutenantgorn: 72215869567751858279458605133772365388284786966777791435856844294419787589140,
luckasolange: 36458284171598882445034545403415764776619074763482433725326636094822372243743,
luke: 36278755064578240397922745512067939484513410134159551558632340511840868468933,
lukeskywalker: 32532512658344832055537683686091310770872794771556361162420438860084119104493,
luminaraunduli: 21047830666988229619182296773782071370099329857142200546820132639033265688648,
luthenrael: 20104386354983910281836980348338995486871739667924846843379250112160950145291,
luxbonteri: 21464498641422707317349585274707650175648029706420496329857045701533228901691,
lyraerso: 30301817812489595602285275009267631551705358023709178028291640343196322022513,
maarvaandor: 92272097959632726785152276264585355398026447113224689399434033337873646293451,
macewindu: 55532797637473325642606513891918624826265559984004614746102216201665780537910,
majorematt: 60293626409458319156587395356883226138053047318579201743195022106195384664997,
majorpartagaz: 23866719030316239610439332395334297096209980490473908567343679560964817351658,
malakili: 85245598210438944953809475762222040357800944631463340528426949879555052955422,
marsguo: 31053706759872038267151744583212386718428083258539083484135507557181648471730,
masamedda: 28702157837233523320400919545199230941009107084729073623545041661587436604426,
mastercodebreaker: 90089984450179173938497883117762366341573974311776062235935992523090988635768,
masterquigon: 30160331376532881025125846255445858012742166707826318032082952597934231662476,
masterwindu: 30993619711322036132426072507436614231769441067178244493035250287671083519414,
masteryoda: 86109527323363609669909135671869846216919331643156249993826726266212046228454,
mawhonic: 9631756733186952705559178403349614701466481857391028576758819156483552836357,
maximilianveers: 112339842377884998250479561779938588105123331790842100062984403609961412565505,
maxrebo: 2611895754311167730505319426048543482319334918777773556349120368055391498686,
mazkanata: 96830622481934674485939335507281877062763410603076024786694516866107053868877,
migsmayfeld: 95177246022055763136153346525724253798014835166822409465813135818452341623345,
minabonteri: 26927299140402891408761813252190021765841814874722718375462289077051333696168,
minasvelti: 76717810341018190248120672619939042808079279344673600893184326968816153179714,
modencanady: 1739600409652261339160266499896244057560271302271003047522132592810070165205,
moffgideon: 68370668481422921946881189572437957985363624663600736639938039736084909930672,
monmothma: 19546614159428999155109692024807868546782858583907740119807136711717591849494,
moradminbast: 65747210288168522231161116876932133194530618758361447688902961583971516285073,
morganelsbeth: 98830411872315372331202076711625886063168537697213560707724900680958463645523,
myo: 107754752345155709991022162463206849858479855355828673873546415522634356973867,
nahdonnispraji: 41467420540526497502133717972452056286086643794017585050118593871232397826538,
nalase: 103116674908623912064893522335922558960777826809664566107340697462961198547464,
nanktun: 4202538752813928531020208175711598821549876695929492010605074987156067738252,
nari: 51803879598624405180474359025416348660937840667560091563806317658326770035870,
niennunb: 77681301547902690036016073480336176690626629560135518749089454840545843261419,
nines: 12863839525220660195329158743720806143710588699259811636887406393019465768904,
nutegunray: 70206143763980514650599455037920640615993959148252359892132675794828852572520,
nyche: 54632929650586837159349861278267680849548663003755346400747852666178512769677,
obi-wan: 69914542719954187259112193364857485427354193054511306312662640534814191137411,
obi-wankenobi: 67682324314620040593261402810915491877538867786072042916042456977962012081984,
oddball: 23517478225163886842201977759269665998265510262010923453438321584475091637923,
odymandrell: 98148025225429250458655784494620521289650458116565873272353140871325298134512,
omatres: 4964492130780922797349358319097257204401434906257908451834276510118668284592,
